MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,IS_URBAN,IS_XBORDER,SELF_REPORTED_ASMT,CO_APPLICANT,GUARANTOR,PRESENT_RESIDENT,OWN_REAL_ESTATE,PROP_UNKN,ESTABLISHED_MONTH,OTHER_INSTALL_PLAN,RENT,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,BRANCHES,TELEPHONE,SHIP_INTERNATIONAL,IS_DEFAULT
936,"0 to 200 USD",30,"DELAY IN PAST","ELECTRONICS",1919,"100 to 500 K USD","up to 1 YR","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","YES",30,"YES","NO","YES",2,4,1,"NO","NO","Yes"
937,"above 200 USD",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",745,"up to 100 K USD","1 to 4 YRS","CT","NO","NO","NO","NO","NO","2 to 3 YRS","YES","NO",28,"NO","NO","YES",1,2,1,"NO","NO","Yes"
938,"0 to 200 USD",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",2063,"up to 100 K USD","up to 1 YR","NY","NO","NO","YES","NO","NO","above 4 YRS","NO","NO",30,"NO","YES","NO",1,4,1,"YES","NO","No"
939,"0 to 200 USD",60,"EXISTING CREDITS PAID BACK","EDUCATION",6288,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",42,"NO","NO","NO",1,3,1,"NO","NO","Yes"
940,"NONE",24,"CRITICAL ACCOUNT","USED CAR",6842,"UNKNOWN/NONE","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","4","NO","NO",46,"NO","NO","YES",2,4,2,"YES","NO","No"
941,"NONE",12,"EXISTING CREDITS PAID BACK","NEW CAR",3527,"UNKNOWN/NONE","up to 1 YR","NJ","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",45,"NO","NO","YES",1,4,2,"YES","NO","No"
942,"NONE",10,"EXISTING CREDITS PAID BACK","NEW CAR",1546,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",31,"NO","NO","YES",1,2,2,"NO","YES","No"
943,"NONE",24,"EXISTING CREDITS PAID BACK","FURNITURE",929,"UNKNOWN/NONE","4 to 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",31,"YES","NO","YES",1,3,1,"YES","NO","No"
944,"NONE",4,"CRITICAL ACCOUNT","NEW CAR",1455,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",42,"NO","NO","YES",3,2,2,"NO","NO","No"
945,"0 USD",15,"EXISTING CREDITS PAID BACK","FURNITURE",1845,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","YES","1 to 2 YRS","NO","NO",46,"NO","YES","NO",1,3,1,"NO","NO","No"
946,"0 to 200 USD",48,"NONE TAKEN","NEW CAR",8358,"500 to 1000 K USD","up to 1 YR","PA","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",30,"NO","NO","YES",2,3,1,"NO","NO","No"
947,"0 USD",24,"ALL CREDITS PAID BACK","FURNITURE",3349,"500 to 1000 K USD","up to 1 YR","NY","NO","YES","NO","NO","NO","4","NO","YES",30,"NO","NO","NO",1,3,2,"YES","NO","Yes"
948,"NONE",12,"EXISTING CREDITS PAID BACK","NEW CAR",2859,"UNKNOWN/NONE","TBD","NY","NO","YES","NO","NO","NO","4","NO","YES",38,"NO","NO","YES",1,4,1,"YES","NO","No"
949,"NONE",18,"EXISTING CREDITS PAID BACK","FURNITURE",1533,"up to 100 K USD","up to 1 YR","NY","NO","NO","YES","YES","NO","1 to 2 YRS","NO","NO",43,"NO","NO","YES",1,2,2,"NO","NO","Yes"
950,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",3621,"100 to 500 K USD","above 7 YRS","NJ","NO","YES","NO","NO","NO","4","NO","NO",31,"NO","NO","YES",2,3,1,"NO","NO","Yes"
951,"0 to 200 USD",18,"CRITICAL ACCOUNT","RETRAINING",3590,"up to 100 K USD","TBD","CT","NO","NO","YES","NO","NO","above 4 YRS","NO","NO",40,"NO","NO","YES",3,1,2,"YES","NO","No"
952,"0 USD",36,"DELAY IN PAST","RETRAINING",2145,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",24,"NO","NO","YES",2,3,1,"YES","NO","Yes"
953,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",4113,"500 to 1000 K USD","up to 1 YR","CT","NO","NO","NO","NO","NO","4","NO","NO",28,"NO","YES","NO",1,3,1,"NO","NO","Yes"
954,"NONE",36,"EXISTING CREDITS PAID BACK","FURNITURE",10974,"up to 100 K USD","TBD","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",26,"NO","NO","YES",2,4,1,"YES","NO","Yes"
955,"0 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1893,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","YES","4","NO","NO",29,"NO","NO","YES",1,3,1,"YES","NO","No"
956,"0 USD",24,"CRITICAL ACCOUNT","ELECTRONICS",1231,"above 1000 K USD","above 7 YRS","NY","NO","NO","NO","NO","NO","4","NO","NO",57,"NO","YES","NO",2,4,1,"YES","NO","No"
957,"above 200 USD",30,"CRITICAL ACCOUNT","ELECTRONICS",3656,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",49,"YES","NO","YES",2,2,1,"NO","NO","No"
958,"0 to 200 USD",9,"CRITICAL ACCOUNT","ELECTRONICS",1154,"up to 100 K USD","above 7 YRS","NJ","NO","YES","NO","NO","NO","4","YES","NO",37,"NO","NO","YES",3,2,1,"NO","NO","No"
959,"0 USD",28,"EXISTING CREDITS PAID BACK","NEW CAR",4006,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",45,"NO","NO","YES",1,2,1,"NO","NO","Yes"
960,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3069,"100 to 500 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",30,"NO","NO","NO",1,3,1,"NO","NO","No"
961,"NONE",6,"CRITICAL ACCOUNT","ELECTRONICS",1740,"up to 100 K USD","above 7 YRS","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","YES","NO",30,"NO","YES","NO",2,3,1,"NO","NO","No"
962,"0 to 200 USD",21,"DELAY IN PAST","NEW CAR",2353,"up to 100 K USD","1 to 4 YRS","PA","YES","NO","NO","NO","NO","4","NO","NO",47,"NO","NO","YES",2,3,1,"NO","NO","No"
963,"NONE",15,"EXISTING CREDITS PAID BACK","NEW CAR",3556,"UNKNOWN/NONE","1 to 4 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","YES",29,"NO","NO","YES",1,3,1,"NO","NO","No"
964,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",2397,"500 to 1000 K USD","above 7 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",35,"YES","NO","YES",2,3,1,"YES","NO","Yes"
965,"0 to 200 USD",6,"EXISTING CREDITS PAID BACK","OTHER",454,"up to 100 K USD","up to 1 YR","CT","NO","NO","YES","NO","NO","1 to 2 YRS","NO","NO",22,"NO","NO","YES",1,2,1,"NO","NO","No"
966,"0 to 200 USD",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",1715,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",26,"NO","NO","YES",1,3,1,"NO","NO","No"
967,"0 to 200 USD",27,"CRITICAL ACCOUNT","ELECTRONICS",2520,"500 to 1000 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",23,"NO","NO","YES",2,2,1,"NO","NO","Yes"
968,"NONE",15,"EXISTING CREDITS PAID BACK","ELECTRONICS",3568,"up to 100 K USD","above 7 YRS","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",54,"YES","YES","NO",1,4,1,"YES","NO","No"
969,"NONE",42,"EXISTING CREDITS PAID BACK","ELECTRONICS",7166,"UNKNOWN/NONE","4 to 7 YRS","NJ","NO","NO","YES","NO","NO","4","NO","NO",29,"NO","YES","NO",1,3,1,"YES","NO","No"
970,"0 USD",11,"CRITICAL ACCOUNT","NEW CAR",3939,"up to 100 K USD","1 to 4 YRS","PA","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",40,"NO","NO","YES",2,2,2,"NO","NO","No"
971,"0 to 200 USD",15,"EXISTING CREDITS PAID BACK","OTHER",1514,"100 to 500 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","YES","2 to 3 YRS","YES","NO",22,"NO","NO","YES",1,3,1,"NO","NO","No"
972,"NONE",24,"EXISTING CREDITS PAID BACK","NEW CAR",7393,"up to 100 K USD","1 to 4 YRS","PA","NO","YES","NO","NO","NO","4","NO","NO",43,"NO","NO","YES",1,2,2,"NO","NO","No"
973,"0 USD",24,"ALL CREDITS PAID BACK","NEW CAR",1193,"up to 100 K USD","TBD","PA","NO","NO","NO","YES","NO","4","NO","YES",29,"NO","YES","NO",2,1,1,"NO","NO","Yes"
974,"0 USD",60,"EXISTING CREDITS PAID BACK","RETRAINING",7297,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","YES","NO","4","NO","YES",36,"NO","YES","NO",1,3,1,"NO","NO","Yes"
975,"NONE",30,"CRITICAL ACCOUNT","ELECTRONICS",2831,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",33,"NO","NO","YES",1,3,1,"YES","NO","No"
976,"above 200 USD",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",1258,"500 to 1000 K USD","1 to 4 YRS","CT","NO","NO","NO","NO","NO","above 4 YRS","NO","NO",57,"NO","NO","YES",1,2,1,"NO","NO","No"
977,"0 to 200 USD",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",753,"up to 100 K USD","1 to 4 YRS","NJ","NO","NO","NO","NO","YES","above 4 YRS","YES","NO",64,"NO","NO","YES",1,3,1,"NO","NO","No"
978,"0 to 200 USD",18,"DELAY IN PAST","RETRAINING",2427,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",42,"NO","NO","YES",2,3,1,"NO","NO","No"
979,"NONE",24,"DELAY IN PAST","NEW CAR",2538,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",47,"NO","NO","YES",2,2,2,"NO","NO","Yes"
980,"0 to 200 USD",15,"ALL CREDITS PAID BACK","NEW CAR",1264,"100 to 500 K USD","1 to 4 YRS","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","NO","NO",25,"NO","YES","NO",1,3,1,"NO","NO","Yes"
981,"0 to 200 USD",30,"CRITICAL ACCOUNT","FURNITURE",8386,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",49,"NO","NO","YES",1,3,1,"NO","NO","Yes"
982,"NONE",48,"EXISTING CREDITS PAID BACK","RETRAINING",4844,"up to 100 K USD","TBD","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",33,"YES","YES","NO",1,4,1,"YES","NO","Yes"
983,"above 200 USD",21,"EXISTING CREDITS PAID BACK","NEW CAR",2923,"100 to 500 K USD","1 to 4 YRS","PA","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",28,"YES","NO","YES",1,4,1,"YES","NO","No"
984,"0 USD",36,"EXISTING CREDITS PAID BACK","USED CAR",8229,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",26,"NO","NO","YES",1,3,2,"NO","NO","Yes"
985,"NONE",24,"CRITICAL ACCOUNT","FURNITURE",2028,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",30,"NO","NO","YES",2,2,1,"NO","NO","No"
986,"0 USD",15,"CRITICAL ACCOUNT","FURNITURE",1433,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","above 4 YRS","NO","NO",25,"NO","YES","NO",2,3,1,"NO","NO","No"
987,"above 200 USD",42,"NONE TAKEN","RETRAINING",6289,"up to 100 K USD","up to 1 YR","NJ","YES","NO","NO","NO","NO","1 to 2 YRS","NO","NO",33,"NO","NO","YES",2,3,1,"NO","NO","No"
988,"NONE",13,"EXISTING CREDITS PAID BACK","ELECTRONICS",1409,"100 to 500 K USD","TBD","NJ","NO","NO","NO","NO","NO","4","YES","NO",64,"NO","NO","YES",1,3,1,"NO","NO","No"
989,"0 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",6579,"up to 100 K USD","TBD","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","YES",29,"NO","NO","NO",1,4,1,"YES","NO","No"
990,"0 to 200 USD",24,"CRITICAL ACCOUNT","ELECTRONICS",1743,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",48,"NO","NO","YES",2,2,1,"NO","NO","No"
991,"NONE",12,"CRITICAL ACCOUNT","EDUCATION",3565,"UNKNOWN/NONE","up to 1 YR","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",37,"NO","NO","YES",2,2,2,"NO","NO","No"
992,"NONE",15,"ALL CREDITS PAID BACK","ELECTRONICS",1569,"100 to 500 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",34,"YES","NO","YES",1,2,2,"NO","NO","No"
993,"0 USD",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",1936,"UNKNOWN/NONE","4 to 7 YRS","NJ","NO","NO","YES","NO","NO","4","NO","NO",23,"NO","YES","NO",2,2,1,"NO","NO","No"
994,"0 USD",36,"EXISTING CREDITS PAID BACK","FURNITURE",3959,"up to 100 K USD","TBD","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",30,"NO","NO","YES",1,4,1,"YES","NO","No"
995,"NONE",12,"EXISTING CREDITS PAID BACK","NEW CAR",2390,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",50,"NO","NO","YES",1,3,1,"YES","NO","No"
996,"NONE",12,"EXISTING CREDITS PAID BACK","FURNITURE",1736,"up to 100 K USD","4 to 7 YRS","CT","NO","NO","NO","NO","NO","4","YES","NO",31,"NO","NO","YES",1,2,1,"NO","NO","No"
997,"0 USD",30,"EXISTING CREDITS PAID BACK","USED CAR",3857,"up to 100 K USD","1 to 4 YRS","NY","YES","NO","NO","NO","NO","4","NO","NO",40,"NO","NO","YES",1,4,1,"YES","NO","No"
998,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",804,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",38,"NO","NO","YES",1,3,1,"NO","NO","No"
999,"0 USD",45,"EXISTING CREDITS PAID BACK","ELECTRONICS",1845,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",23,"NO","NO","NO",1,3,1,"YES","NO","Yes"
1000,"0 to 200 USD",45,"CRITICAL ACCOUNT","USED CAR",4576,"100 to 500 K USD","TBD","CT","NO","YES","NO","NO","NO","4","NO","NO",27,"NO","NO","YES",1,3,1,"NO","NO","No"
1,"0 USD",6,"CRITICAL ACCOUNT","ELECTRONICS",1169,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",67,"NO","NO","YES",2,3,1,"YES","NO","No"
2,"0 to 200 USD",48,"EXISTING CREDITS PAID BACK","ELECTRONICS",5951,"up to 100 K USD","1 to 4 YRS","NJ","NO","NO","NO","NO","NO","2 to 3 YRS","YES","NO",22,"NO","NO","YES",1,3,1,"NO","NO","Yes"
3,"NONE",12,"CRITICAL ACCOUNT","EDUCATION",2096,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","above 4 YRS","YES","NO",49,"NO","NO","YES",1,2,2,"NO","NO","No"
4,"0 USD",42,"EXISTING CREDITS PAID BACK","FURNITURE",7882,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","YES","4","NO","NO",45,"NO","NO","NO",1,3,2,"NO","NO","No"
5,"0 USD",24,"DELAY IN PAST","NEW CAR",4870,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","4","NO","YES",53,"NO","NO","NO",2,3,2,"NO","NO","Yes"
6,"NONE",36,"EXISTING CREDITS PAID BACK","EDUCATION",9055,"UNKNOWN/NONE","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","4","NO","YES",35,"NO","NO","NO",1,2,2,"YES","NO","No"
7,"NONE",24,"EXISTING CREDITS PAID BACK","FURNITURE",2835,"500 to 1000 K USD","above 7 YRS","CT","NO","YES","NO","NO","NO","4","NO","NO",53,"NO","NO","YES",1,3,1,"NO","NO","No"
